Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,PitInTime,PitOutTime,IsAccurate,LapTimeSeconds,BestStintLap,Degradation,PitLap
VER,Red Bull Racing,48.0,0 days 00:01:34.350000,SOFT,11.0,3.0,,,True,94.35,92.608,1.7419999999999902,False
VER,Red Bull Racing,49.0,0 days 00:01:34.403000,SOFT,12.0,3.0,,,True,94.403,92.608,1.7950000000000017,False
VER,Red Bull Racing,50.0,0 days 00:01:34.783000,SOFT,13.0,3.0,,,True,94.783,92.608,2.174999999999997,False
VER,Red Bull Racing,51.0,0 days 00:01:34.340000,SOFT,14.0,3.0,,,True,94.34,92.608,1.7319999999999993,False
VER,Red Bull Racing,52.0,0 days 00:01:34.906000,SOFT,15.0,3.0,,,True,94.906,92.608,2.298000000000002,False
VER,Red Bull Racing,53.0,0 days 00:01:35.600000,SOFT,16.0,3.0,,,True,95.6,92.608,2.9919999999999902,False
VER,Red Bull Racing,54.0,0 days 00:01:35.334000,SOFT,17.0,3.0,,,True,95.334,92.608,2.725999999999999,False
VER,Red Bull Racing,55.0,0 days 00:01:35.184000,SOFT,18.0,3.0,,,True,95.184,92.608,2.5759999999999934,False
VER,Red Bull Racing,56.0,0 days 00:01:34.671000,SOFT,19.0,3.0,,,True,94.671,92.608,2.0630000000000024,False
VER,Red Bull Racing,57.0,0 days 00:01:34.923000,SOFT,20.0,3.0,,,True,94.923,92.608,2.3149999999999977,False
PER,Red Bull Racing,2.0,0 days 00:01:36.541000,SOFT,5.0,1.0,,,True,96.541,96.541,0.0,False
PER,Red Bull Racing,3.0,0 days 00:01:37.297000,SOFT,6.0,1.0,,,True,97.297,96.541,0.7560000000000002,False
PER,Red Bull Racing,4.0,0 days 00:01:37.722000,SOFT,7.0,1.0,,,True,97.722,96.541,1.1809999999999974,False
PER,Red Bull Racing,5.0,0 days 00:01:38.044000,SOFT,8.0,1.0,,,True,98.044,96.541,1.5030000000000001,False
PER,Red Bull Racing,6.0,0 days 00:01:37.823000,SOFT,9.0,1.0,,,True,97.823,96.541,1.2819999999999965,False
PER,Red Bull Racing,7.0,0 days 00:01:37.821000,SOFT,10.0,1.0,,,True,97.821,96.541,1.2800000000000011,False
